Country code,Series name,2000,2005,avg_value,median_value,std_dev
SID,Land area below 5m (% of land area),5.4293836503,34706526643.07122,17353263324.2503,17353263324.2503,14168880167.755804
SLB,Land area below 5m (% of land area),11.53864,34706526643.07122,17353263327.30493,17353263327.30493,14168880165.26171
SLE,Land area below 5m (% of land area),3.003588,34706526643.07122,17353263323.037403,17353263323.037403,14168880168.74613
SLV,Land area below 5m (% of land area),2.452742,34706526643.07122,17353263322.761982,17353263322.761982,14168880168.971012
SMR,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
SOM,Land area below 5m (% of land area),0.5667931,34706526643.07122,17353263321.819008,17353263321.819008,14168880169.740948
SRB,Land area below 5m (% of land area),0.1889901,34706526643.07122,17353263321.630104,17353263321.630104,14168880169.895185
SSA,Land area below 5m (% of land area),0.376170613107154,34706526643.07122,17353263321.723694,17353263321.723694,14168880169.81877
STP,Land area below 5m (% of land area),14.72324,34706526643.07122,17353263328.897232,17353263328.897232,14168880163.961603
SUR,Land area below 5m (% of land area),3.449275,34706526643.07122,17353263323.260246,17353263323.260246,14168880168.56418
SVK,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
SVN,Land area below 5m (% of land area),0.2044258,34706526643.07122,17353263321.63782,17353263321.63782,14168880169.888884
SWE,Land area below 5m (% of land area),1.528626,34706526643.07122,17353263322.299923,17353263322.299923,14168880169.348282
SWZ,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
SXM,Land area below 5m (% of land area),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
SYC,Land area below 5m (% of land area),43.94353,34706526643.07122,17353263343.507374,17353263343.507374,14168880152.032469
SYR,Land area below 5m (% of land area),0.05983744,34706526643.07122,17353263321.56553,17353263321.56553,14168880169.947912
TCA,Land area below 5m (% of land area),53.2727,34706526643.07122,17353263348.17196,17353263348.17196,14168880148.223852
TCD,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
TGO,Land area below 5m (% of land area),0.5779024,34706526643.07122,17353263321.824562,17353263321.824562,14168880169.736412
THA,Land area below 5m (% of land area),4.167608,34706526643.07122,17353263323.619415,17353263323.619415,14168880168.270922
TJK,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
TKM,Land area below 5m (% of land area),5.304284,34706526643.07122,17353263324.18775,17353263324.18775,14168880167.806875
TMP,Land area below 5m (% of land area),2.888742,34706526643.07122,17353263322.97998,17353263322.97998,14168880168.793016
TON,Land area below 5m (% of land area),40.46064,34706526643.07122,17353263341.76593,17353263341.76593,14168880153.454353
TTO,Land area below 5m (% of land area),7.978341,34706526643.07122,17353263325.52478,17353263325.52478,14168880166.715197
TUN,Land area below 5m (% of land area),2.791754,34706526643.07122,17353263322.931488,17353263322.931488,14168880168.832611
TUR,Land area below 5m (% of land area),1.026591,34706526643.07122,17353263322.048904,17353263322.048904,14168880169.553236
TUV,Land area below 5m (% of land area),99.99996,34706526643.07122,17353263371.53559,17353263371.53559,14168880129.147528
TZA,Land area below 5m (% of land area),0.1756921,34706526643.07122,17353263321.623455,17353263321.623455,14168880169.900614
UGA,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
UKR,Land area below 5m (% of land area),1.542492,34706526643.07122,17353263322.306858,17353263322.306858,14168880169.34262
UMC,Land area below 5m (% of land area),1.79126204533688,34706526643.07122,17353263322.43124,17353263322.43124,14168880169.24106
URY,Land area below 5m (% of land area),1.906647,34706526643.07122,17353263322.488934,17353263322.488934,14168880169.193954
USA,Land area below 5m (% of land area),1.717947,34706526643.07122,17353263322.394585,17353263322.394585,14168880169.270992
UZB,Land area below 5m (% of land area),0.0525719,34706526643.07122,17353263321.561897,17353263321.561897,14168880169.950878
VCT,Land area below 5m (% of land area),21.95773,34706526643.07122,17353263332.514477,17353263332.514477,14168880161.008135
VEN,Land area below 5m (% of land area),2.286449,34706526643.07122,17353263322.678833,17353263322.678833,14168880169.038902
VIR,Land area below 5m (% of land area),30.95858,34706526643.07122,17353263337.0149,17353263337.0149,14168880157.333553
VNM,Land area below 5m (% of land area),17.50231,34706526643.07122,17353263330.286766,17353263330.286766,14168880162.827051
VUT,Land area below 5m (% of land area),11.67647,34706526643.07122,17353263327.373844,17353263327.373844,14168880165.205442
WBG,Land area below 5m (% of land area),14.84334,34706526643.07122,17353263328.95728,17353263328.95728,14168880163.91257
WLD,Land area below 5m (% of land area),1.76428679274372,34706526643.07122,17353263322.417755,17353263322.417755,14168880169.252073
WSM,Land area below 5m (% of land area),7.33132,34706526643.07122,17353263325.20127,17353263325.20127,14168880166.979342
YEM,Land area below 5m (% of land area),0.5608405,34706526643.07122,17353263321.81603,17353263321.81603,14168880169.743378
ZAF,Land area below 5m (% of land area),0.1342833,34706526643.07122,17353263321.602753,17353263321.602753,14168880169.917519
ZAR,Land area below 5m (% of land area),0.01547777,34706526643.07122,17353263321.54335,17353263321.54335,14168880169.966022
ZMB,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
ZWE,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
ABW,Agricultural land under irrigation (% of total ag. land),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
ADO,Agricultural land under irrigation (% of total ag. land),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
AFG,Agricultural land under irrigation (% of total ag. land),21956746574.405476,5.84014771828014,10978373290.122812,10978373290.122812,8963804250.765087
AGO,Agricultural land under irrigation (% of total ag. land),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
ALB,Agricultural land under irrigation (% of total ag. land),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
ARE,Agricultural land under irrigation (% of total ag. land),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
ARG,Agricultural land under irrigation (% of total ag. land),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
ARM,Agricultural land under irrigation (% of total ag. land),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
ASM,Agricultural land under irrigation (% of total ag. land),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
ATG,Agricultural land under irrigation (% of total ag. land),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
AUS,Agricultural land under irrigation (% of total ag. land),21956746574.405476,0.540268539298078,10978373287.472872,10978373287.472872,8963804252.928753
AUT,Agricultural land under irrigation (% of total ag. land),21956746574.405476,1.22586576769844,10978373287.81567,10978373287.81567,8963804252.648859
AZE,Agricultural land under irrigation (% of total ag. land),21956746574.405476,30.0546448087432,10978373302.23006,10978373302.23006,8963804240.879559
BDI,Agricultural land under irrigation (% of total ag. land),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
BEL,Agricultural land under irrigation (% of total ag. land),21956746574.405476,0.216606498194946,10978373287.31104,10978373287.31104,8963804253.060886
BEN,Agricultural land under irrigation (% of total ag. land),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
BFA,Agricultural land under irrigation (% of total ag. land),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
BGD,Agricultural land under irrigation (% of total ag. land),21956746574.405476,51.1223284287402,10978373312.763903,10978373312.763903,8963804232.278713
BGR,Agricultural land under irrigation (% of total ag. land),21956746574.405476,1.02564102564103,10978373287.715559,10978373287.715559,8963804252.7306
BHR,Agricultural land under irrigation (% of total ag. land),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
